Error inserting trade: Trade ID: 2, Trade Identifier: TDB_195199, Ticker Symbol: SPOT, Quantity: 350, Price: 2735.94, Trade Date: 2024-01-06
Error inserting trade: Trade ID: 3, Trade Identifier: TDB_135287, Ticker Symbol: HOOD, Quantity: 287, Price: 717.59, Trade Date: 2024-07-19
Error inserting trade: Trade ID: 4, Trade Identifier: TDB_227475, Ticker Symbol: DOCU, Quantity: 231, Price: 2052.41, Trade Date: 2024-03-03
Error inserting trade: Trade ID: 6, Trade Identifier: TDB_171277, Ticker Symbol: SNAP, Quantity: 11, Price: 2488.77, Trade Date: 2024-08-15
Error inserting trade: Trade ID: 7, Trade Identifier: TDB_232786, Ticker Symbol: NKE, Quantity: 443, Price: 1800.6, Trade Date: 2024-10-17
Error inserting trade: Trade ID: 10, Trade Identifier: TDB_182176, Ticker Symbol: HOOD, Quantity: 114, Price: 778.68, Trade Date: 2024-11-17
Error inserting trade: Trade ID: 12, Trade Identifier: TDB_205365, Ticker Symbol: BABA, Quantity: 434, Price: 272.08, Trade Date: 2024-12-01
Error inserting trade: Trade ID: 15, Trade Identifier: TDB_149610, Ticker Symbol: DOCU, Quantity: 460, Price: 117.28, Trade Date: 2024-08-20
Error inserting trade: Trade ID: 17, Trade Identifier: TDB_227121, Ticker Symbol: BABA, Quantity: 351, Price: 2292.21, Trade Date: 2024-12-12
Error inserting trade: Trade ID: 20, Trade Identifier: TDB_204580, Ticker Symbol: SHOP, Quantity: 357, Price: 1248.18, Trade Date: 2024-12-12
Error inserting trade: Trade ID: 22, Trade Identifier: TDB_220347, Ticker Symbol: BIDU, Quantity: 430, Price: 1297.05, Trade Date: 2024-09-08
Error inserting trade: Trade ID: 23, Trade Identifier: TDB_235202, Ticker Symbol: SQ, Quantity: 142, Price: 2234.86, Trade Date: 2024-07-03
Error inserting trade: Trade ID: 24, Trade Identifier: TDB_226617, Ticker Symbol: SHOP, Quantity: 285, Price: 927.69, Trade Date: 2024-03-31
Error inserting trade: Trade ID: 25, Trade Identifier: TDB_168022, Ticker Symbol: SHOP, Quantity: 121, Price: 1917.15, Trade Date: 2024-11-29
Error inserting trade: Trade ID: 26, Trade Identifier: TDB_187341, Ticker Symbol: BABA, Quantity: 355, Price: 2397.79, Trade Date: 2024-03-09
Error inserting trade: Trade ID: 29, Trade Identifier: TDB_168087, Ticker Symbol: HOOD, Quantity: 378, Price: 1067.0, Trade Date: 2024-08-23
Error inserting trade: Trade ID: 30, Trade Identifier: TDB_131649, Ticker Symbol: ROKU, Quantity: 278, Price: 2453.12, Trade Date: 2024-07-11
Error inserting trade: Trade ID: 31, Trade Identifier: TDB_191939, Ticker Symbol: SPOT, Quantity: 318, Price: 1395.88, Trade Date: 2024-04-11
Error inserting trade: Trade ID: 32, Trade Identifier: TDB_208670, Ticker Symbol: ZM, Quantity: 231, Price: 2842.94, Trade Date: 2024-11-22
Error inserting trade: Trade ID: 33, Trade Identifier: TDB_137818, Ticker Symbol: TSM, Quantity: 48, Price: 1246.25, Trade Date: 2024-09-02
Error inserting trade: Trade ID: 35, Trade Identifier: TDB_167242, Ticker Symbol: TWTR, Quantity: 276, Price: 466.4, Trade Date: 2024-04-08
Error inserting trade: Trade ID: 36, Trade Identifier: TDB_214374, Ticker Symbol: BIDU, Quantity: 160, Price: 435.39, Trade Date: 2024-02-26
Error inserting trade: Trade ID: 37, Trade Identifier: TDB_200209, Ticker Symbol: NET, Quantity: 458, Price: 2192.71, Trade Date: 2024-02-29
Error inserting trade: Trade ID: 40, Trade Identifier: TDB_199586, Ticker Symbol: SBUX, Quantity: 114, Price: 1073.98, Trade Date: 2024-12-24
Error inserting trade: Trade ID: 41, Trade Identifier: TDB_150735, Ticker Symbol: TEAM, Quantity: 45, Price: 327.3, Trade Date: 2024-07-23
Error inserting trade: Trade ID: 42, Trade Identifier: TDB_229197, Ticker Symbol: TSM, Quantity: 500, Price: 124.7, Trade Date: 2024-09-19
Error inserting trade: Trade ID: 44, Trade Identifier: TDB_227909, Ticker Symbol: TWTR, Quantity: 42, Price: 747.07, Trade Date: 2024-07-16
Error inserting trade: Trade ID: 47, Trade Identifier: TDB_131233, Ticker Symbol: BABA, Quantity: 271, Price: 1786.21, Trade Date: 2024-05-05
Error inserting trade: Trade ID: 48, Trade Identifier: TDB_210078, Ticker Symbol: Z, Quantity: 362, Price: 2032.12, Trade Date: 2024-08-03
