[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-22T20:30:28.872424
[ERROR]: JDBC.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-22T20:30:28.874497
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-22T20:31:52.276441
[ERROR]: JDBC.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-22T20:31:52.278496
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-22T20:32:21.150111
[ERROR]: JDBC.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-22T20:32:21.152323
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-22T20:32:35.673115
[ERROR]: JDBC.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-22T20:32:35.675277
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-22T20:32:42.611643
[ERROR]: JDBC.trades.exceptions.HitErrorsThresholdException: Ticker Symbol doesn't Exist [ERROR-LINE#]: 1 [ERROR LINE]: TradePOJO{trade_id='1', trade_identifier='TDB_219848', ticker_symbol='INVALID_TICKER', quantity=330, price=178.82, date=2024-08-13} [TIME]: 2024-09-22T20:32:42.614018
[ERROR]: Ticker Symbol doesn't Exist [ERROR-LINE#]: 3 [ERROR LINE]: TradePOJO{trade_id='2', trade_identifier='TDB_195199', ticker_symbol='INVALID_TICKER', quantity=350, price=2735.94, date=2024-01-06} [TIME]: 2024-09-22T20:32:47.751345
