
Invalid Ticker symbol :- trade_id: 2, trade_identifier: TDB_195199, ticker_symbol: SPOT, quantity: 350, price: 2735.94, trade_date: 2024-01-06
Invalid Ticker symbol :- trade_id: 3, trade_identifier: TDB_135287, ticker_symbol: HOOD, quantity: 287, price: 717.59, trade_date: 2024-07-19
Invalid Ticker symbol :- trade_id: 4, trade_identifier: TDB_227475, ticker_symbol: DOCU, quantity: 231, price: 2052.41, trade_date: 2024-03-03
Invalid Ticker symbol :- trade_id: 6, trade_identifier: TDB_171277, ticker_symbol: SNAP, quantity: 11, price: 2488.77, trade_date: 2024-08-15
Invalid Ticker symbol :- trade_id: 7, trade_identifier: TDB_232786, ticker_symbol: NKE, quantity: 443, price: 1800.6, trade_date: 2024-10-17
Invalid Ticker symbol :- trade_id: 10, trade_identifier: TDB_182176, ticker_symbol: HOOD, quantity: 114, price: 778.68, trade_date: 2024-11-17
Invalid Ticker symbol :- trade_id: 12, trade_identifier: TDB_205365, ticker_symbol: BABA, quantity: 434, price: 272.08, trade_date: 2024-12-01
Invalid Ticker symbol :- trade_id: 15, trade_identifier: TDB_149610, ticker_symbol: DOCU, quantity: 460, price: 117.28, trade_date: 2024-08-20
Invalid Ticker symbol :- trade_id: 17, trade_identifier: TDB_227121, ticker_symbol: BABA, quantity: 351, price: 2292.21, trade_date: 2024-12-12
Invalid Ticker symbol :- trade_id: 20, trade_identifier: TDB_204580, ticker_symbol: SHOP, quantity: 357, price: 1248.18, trade_date: 2024-12-12
Invalid Ticker symbol :- trade_id: 22, trade_identifier: TDB_220347, ticker_symbol: BIDU, quantity: 430, price: 1297.05, trade_date: 2024-09-08
Invalid Ticker symbol :- trade_id: 23, trade_identifier: TDB_235202, ticker_symbol: SQ, quantity: 142, price: 2234.86, trade_date: 2024-07-03
Invalid Ticker symbol :- trade_id: 24, trade_identifier: TDB_226617, ticker_symbol: SHOP, quantity: 285, price: 927.69, trade_date: 2024-03-31
Invalid Ticker symbol :- trade_id: 25, trade_identifier: TDB_168022, ticker_symbol: SHOP, quantity: 121, price: 1917.15, trade_date: 2024-11-29
Invalid Ticker symbol :- trade_id: 26, trade_identifier: TDB_187341, ticker_symbol: BABA, quantity: 355, price: 2397.79, trade_date: 2024-03-09
Invalid Ticker symbol :- trade_id: 29, trade_identifier: TDB_168087, ticker_symbol: HOOD, quantity: 378, price: 1067.0, trade_date: 2024-08-23
Invalid Ticker symbol :- trade_id: 30, trade_identifier: TDB_131649, ticker_symbol: ROKU, quantity: 278, price: 2453.12, trade_date: 2024-07-11
Invalid Ticker symbol :- trade_id: 31, trade_identifier: TDB_191939, ticker_symbol: SPOT, quantity: 318, price: 1395.88, trade_date: 2024-04-11
Invalid Ticker symbol :- trade_id: 32, trade_identifier: TDB_208670, ticker_symbol: ZM, quantity: 231, price: 2842.94, trade_date: 2024-11-22
Invalid Ticker symbol :- trade_id: 33, trade_identifier: TDB_137818, ticker_symbol: TSM, quantity: 48, price: 1246.25, trade_date: 2024-09-02
Invalid Ticker symbol :- trade_id: 35, trade_identifier: TDB_167242, ticker_symbol: TWTR, quantity: 276, price: 466.4, trade_date: 2024-04-08
Invalid Ticker symbol :- trade_id: 36, trade_identifier: TDB_214374, ticker_symbol: BIDU, quantity: 160, price: 435.39, trade_date: 2024-02-26
Invalid Ticker symbol :- trade_id: 37, trade_identifier: TDB_200209, ticker_symbol: NET, quantity: 458, price: 2192.71, trade_date: 2024-02-29
Invalid Ticker symbol :- trade_id: 40, trade_identifier: TDB_199586, ticker_symbol: SBUX, quantity: 114, price: 1073.98, trade_date: 2024-12-24
Invalid Ticker symbol :- trade_id: 41, trade_identifier: TDB_150735, ticker_symbol: TEAM, quantity: 45, price: 327.3, trade_date: 2024-07-23
