TDB_0003003,651286323,buy,Q99X60AP0,1982,240.50,2023-10-19 22:40:05
TDB_0003004,226651774,buy,Q99X60AP0,2951,397.08,2024-05-06 03:00:02
TDB_0003005,850226336,sell,RD1OSEVT3,8674,19.04,2024-07-29 01:57:06
TDB_0003006,645066656,sell,YWJEHHDP9,81,269.43,2023-10-08 02:11:52
TDB_0003007,159570865,buy,HSGO3XBM7,8922,331.47,2024-02-24 16:38:04
TDB_0003008,825810138,sell,CQBYE29J5,4110,372.20,2023-11-15 20:58:52
TDB_0003009,803264434,buy,YO02STU92,3976,355.31,2024-05-28 18:43:55
TDB_0003010,798818183,buy,A0XKZ70G1,1961,398.10,2024-01-03 09:12:00
TDB_0003011,833887605,sell,H8ULRR404,4029,114.45,2024-05-16 09:00:25
TDB_0003012,951998275,sell,RD1OSEVT3,2785,127.31,2024-04-27 23:52:58
TDB_0003013,159570865,sell,A0XKZ70G1,8676,280.24,2024-09-11 01:00:15
TDB_0003014,803264434,sell,YWJEHHDP9,530,415.65,2024-08-13 14:19:10
TDB_0003015,902331019,buy,B4VLMJKR4,8857,452.08,2023-10-24 10:11:46
TDB_0003016,407496832,buy,ZZZ6K86D1,569,335.11,2024-01-26 22:13:22
TDB_0003017,159570865,sell,ZZZ6K86D1,9775,243.38,2023-12-29 18:51:07
TDB_0003018,951998275,buy,CKCVCQPB1,8658,213.54,2024-06-30 22:29:13
TDB_0003019,798818183,sell,ZZZ6K86D1,3977,480.60,2024-04-15 05:59:35
TDB_0003020,833887605,buy,H8ULRR404,7938,463.49,2023-12-14 16:53:44
TDB_0003021,281014001,sell,CKCVCQPB1,2627,9.74,2024-08-02 23:08:56
TDB_0003022,798818183,sell,B4VLMJKR4,5544,302.24,2024-07-12 19:50:31
TDB_0003023,594779001,sell,CQBYE29J5,2924,87.32,2024-05-24 15:55:49
TDB_0003024,674281263,sell,292P3LG71,2880,496.62,2024-03-18 05:30:24
TDB_0003025,951998275,buy,292P3LG71,5483,487.49,2023-12-23 09:35:55
TDB_0003026,850226336,buy,CKCVCQPB1,3028,387.12,2023-10-03 14:58:51
TDB_0003027,813265305,buy,9SUGDF3A0,4435,457.10,2024-03-05 18:06:45
TDB_0003028,850226336,sell,RD1OSEVT3,8152,164.72,2024-06-22 01:09:27
TDB_0003029,902331019,buy,B4VLMJKR4,2193,466.15,2023-11-29 13:31:24
TDB_0003030,803264434,sell,CKCVCQPB1,8588,474.21,2024-04-09 19:51:05
TDB_0003031,281014001,buy,Y0S5DJPF7,3810,237.49,2024-05-04 14:17:25
TDB_0003032,889854561,buy,Y0S5DJPF7,9604,393.25,2023-09-27 08:06:18
TDB_0003033,825810138,sell,Q99X60AP0,5432,350.28,2024-01-13 22:02:40
TDB_0003034,803264434,buy,15EHH7NG3,4148,138.32,2024-04-04 18:58:18
TDB_0003035,661255455,sell,YWJEHHDP9,3004,293.20,2023-12-10 15:33:52
TDB_0003036,674281263,sell,A0XKZ70G1,1897,230.92,2023-11-08 19:54:59
TDB_0003037,674281263,buy,IJHKIMLJ7,2096,44.47,2023-10-08 01:14:44
TDB_0003038,226651774,sell,RD1OSEVT3,1203,212.23,2024-05-13 11:31:38
TDB_0003039,400437068,buy,A0XKZ70G1,3359,140.79,2024-03-25 14:11:22
TDB_0003040,127658056,sell,9SUGDF3A0,3440,188.23,2023-10-22 06:08:18
TDB_0003041,844783191,sell,YO02STU92,8306,2.63,2024-01-19 12:01:09
TDB_0003042,833887605,buy,FXC47NHW6,5989,34.41,2023-12-27 08:41:31
TDB_0003043,798818183,buy,X1LUZZ008,2807,138.63,2024-06-12 14:28:08
TDB_0003044,407496832,sell,JS1JBRRF4,2984,423.03,2024-01-07 16:02:29
TDB_0003045,416091528,buy,V0H365KX1,2937,10.39,2024-08-20 08:21:48
TDB_0003046,159570865,buy,YO02STU92,2169,461.79,2024-07-16 06:47:23
TDB_0003047,268260362,sell,292P3LG71,3959,422.01,2024-08-28 01:17:19
TDB_0003048,107216323,sell,A0XKZ70G1,6156,246.14,2024-06-30 16:41:28
TDB_0003049,268260362,sell,292P3LG71,1400,398.49,2024-01-13 07:53:29
TDB_0003050,645066656,buy,HSGO3XBM7,32,356.89,2024-03-03 18:04:47
TDB_0003051,281014001,buy,15EHH7NG3,138,5.56,2024-03-20 12:06:14
TDB_0003052,815127386,sell,ZZZ6K86D1,5950,304.83,2024-04-15 15:42:45
TDB_0003053,105933111,sell,Y0S5DJPF7,1650,45.76,2024-07-31 20:52:09
TDB_0003054,982473600,sell,CKCVCQPB1,5735,366.92,2023-10-09 10:25:00
TDB_0003055,645066656,sell,JS1JBRRF4,7136,162.74,2024-05-21 02:07:20
TDB_0003056,902331019,sell,YO02STU92,9064,94.85,2024-01-23 02:00:25
TDB_0003057,159570865,buy,292P3LG71,3531,393.47,2024-05-29 23:58:43
TDB_0003058,281014001,buy,B29432H36,3882,253.44,2024-09-23 05:09:58
