TDB_0004004,951998275,sell,ZZZ6K86D1,258,369.27,2024-04-03 21:28:43
TDB_0004005,281014001,buy,TX30S8B62,4359,256.17,2023-12-18 20:39:25
TDB_0004006,815127386,sell,JS1JBRRF4,8325,476.04,2023-10-22 07:27:23
TDB_0004007,674281263,buy,292P3LG71,3505,237.49,2023-10-16 17:36:28
TDB_0004008,825810138,buy,Y0S5DJPF7,5393,107.43,2023-11-07 10:48:49
TDB_0004009,815127386,sell,H8ULRR404,3008,127.92,2023-12-07 16:43:52
TDB_0004010,803264434,sell,ZZZ6K86D1,9630,373.27,2024-05-04 22:33:37
TDB_0004011,803264434,sell,X1LUZZ008,1214,333.48,2023-10-02 00:07:29
TDB_0004012,798818183,buy,3TXH7T4T4,9620,7.69,2024-03-05 10:22:21
TDB_0004013,902331019,buy,Q99X60AP0,6390,74.25,2024-06-07 14:35:24
TDB_0004014,674281263,buy,A0XKZ70G1,5489,66.12,2024-07-13 02:04:30
TDB_0004015,779099274,buy,RD1OSEVT3,9217,85.24,2024-01-31 13:35:41
TDB_0004016,268260362,sell,3TXH7T4T4,4323,79.78,2023-10-15 06:06:24
TDB_0004017,611250713,sell,B29432H36,8228,271.80,2024-06-03 16:20:41
TDB_0004018,982473600,sell,X1LUZZ008,6441,449.85,2023-09-29 17:43:05
TDB_0004019,813265305,buy,IJHKIMLJ7,1594,444.00,2023-11-21 15:52:44
TDB_0004020,159570865,sell,ZZZ6K86D1,5806,361.07,2023-10-22 07:05:24
TDB_0004021,815127386,sell,292P3LG71,3533,291.24,2024-06-16 02:13:08
TDB_0004022,416091528,buy,CKCVCQPB1,1477,263.31,2023-10-19 04:51:50
TDB_0004023,982473600,buy,ZZZ6K86D1,7826,95.70,2024-01-18 09:26:46
TDB_0004024,844783191,buy,TX30S8B62,3701,385.29,2024-07-16 05:31:22
TDB_0004025,651286323,buy,A0XKZ70G1,2767,75.17,2024-04-10 02:09:35
TDB_0004026,107216323,buy,B4VLMJKR4,8150,477.35,2024-09-23 11:44:54
TDB_0004027,815127386,sell,292P3LG71,1349,189.19,2023-12-01 04:17:12
TDB_0004028,268260362,sell,FXC47NHW6,2634,35.86,2024-03-31 08:13:36
TDB_0004029,982473600,buy,YO02STU92,5441,276.14,2024-01-13 13:00:15
TDB_0004030,115447971,sell,JS1JBRRF4,1485,405.19,2024-02-22 02:00:42
TDB_0004031,115447971,buy,A0XKZ70G1,4030,351.95,2024-03-23 04:03:08
TDB_0004032,889854561,buy,A0XKZ70G1,4541,444.40,2024-01-23 00:50:23
TDB_0004033,951998275,buy,V0H365KX1,6394,333.69,2023-11-07 22:34:21
TDB_0004034,105933111,sell,FXC47NHW6,8791,305.31,2023-10-02 12:42:29
TDB_0004035,594779001,buy,ZZZ6K86D1,1773,182.23,2024-09-07 00:29:30
TDB_0004036,611250713,sell,292P3LG71,1693,365.65,2024-05-27 04:24:01
