TDB_00007500,2024-09-21 03:42:45,TDB_CUST_1978671,FB,SELL,57,1453.56
TDB_00007501,2024-09-20 08:51:15,TDB_CUST_6461395,MSFT,SELL,728,681.03
TDB_00007502,2024-09-22 21:00:39,TDB_CUST_7493712,V,BUY,110,414.72
TDB_00007503,2024-09-22 20:53:14,TDB_CUST_2147815,MSFT,SELL,246,1124.92
TDB_00007504,2024-09-19 16:03:46,TDB_CUST_1544853,FB,BUY,331,560.41
TDB_00007505,2024-09-23 20:49:04,TDB_CUST_5249634,NFLX,BUY,239,103.46
TDB_00007506,2024-09-24 10:53:10,TDB_CUST_7187819,JPM,SELL,62,262.84
TDB_00007507,2024-09-21 21:33:17,TDB_CUST_6374573,NVDA,BUY,209,928.16
TDB_00007508,2024-09-24 22:37:56,TDB_CUST_1354728,AMZN,SELL,503,757.48
TDB_00007509,2024-09-22 03:05:15,TDB_CUST_9474167,AAPL,SELL,411,1059.09
TDB_00007510,2024-09-25 08:16:16,TDB_CUST_6879278,V,BUY,975,1307.1
TDB_00007511,2024-09-20 04:26:42,TDB_CUST_3907836,AMZN,BUY,139,896.37
TDB_00007512,2024-09-25 17:51:47,TDB_CUST_6081545,JPM,SELL,110,888.85
TDB_00007513,2024-09-25 12:37:32,TDB_CUST_6811283,MSFT,SELL,638,804.33
TDB_00007514,2024-09-23 11:11:34,TDB_CUST_2509333,NFLX,BUY,411,1119.73
TDB_00007515,2024-09-19 17:29:07,TDB_CUST_1388936,NVDA,SELL,311,1359.07
TDB_00007516,2024-09-21 17:57:34,TDB_CUST_9037497,FB,BUY,142,1449.1
TDB_00007517,2024-09-20 14:36:43,TDB_CUST_7643330,NFLX,BUY,944,1068.2
TDB_00007518,2024-09-24 18:49:15,TDB_CUST_7636550,JPM,BUY,679,338.82
TDB_00007519,2024-09-22 01:16:57,TDB_CUST_5939490,MSFT,BUY,112,1358.51
TDB_00007520,2024-09-19 18:32:08,TDB_CUST_2384078,GOOGL,SELL,929,723.17
TDB_00007521,2024-09-22 11:53:15,TDB_CUST_8256469,NFLX,BUY,710,1352.1
TDB_00007522,2024-09-21 18:15:33,TDB_CUST_6077531,GOOGL,SELL,299,277.57
TDB_00007523,2024-09-24 07:00:23,TDB_CUST_4417149,FB,BUY,662,1209.72
TDB_00007524,2024-09-23 13:05:15,TDB_CUST_6436135,AMZN,BUY,439,92.43
TDB_00007525,2024-09-24 01:48:00,TDB_CUST_5603415,NVDA,BUY,781,1305.69
TDB_00007526,2024-09-24 06:11:27,TDB_CUST_7689685,NVDA,BUY,935,1148.0
TDB_00007527,2024-09-23 11:50:45,TDB_CUST_2721626,AMZN,BUY,911,204.99
TDB_00007528,2024-09-23 07:04:59,TDB_CUST_9215901,GOOGL,SELL,435,1257.96
TDB_00007529,2024-09-21 09:10:08,TDB_CUST_8379065,MSFT,BUY,517,299.49
TDB_00007530,2024-09-23 05:44:09,TDB_CUST_4798457,AAPL,SELL,192,556.1
TDB_00007531,2024-09-20 14:26:40,TDB_CUST_4486574,GOOGL,BUY,247,1048.83
TDB_00007532,2024-09-19 23:21:04,TDB_CUST_8946643,TSLA,SELL,323,1200.14
TDB_00007533,2024-09-20 12:28:12,TDB_CUST_4984555,AMZN,SELL,357,300.4
TDB_00007534,2024-09-22 01:25:11,TDB_CUST_4202613,JPM,BUY,869,586.54
TDB_00007535,2024-09-24 01:24:06,TDB_CUST_7763509,NVDA,SELL,252,929.13
